Outcome,LOW,MEDIUM,HIGH,set,drug,2nd
AMI,D009203,D017202,D006331,NEG,N03AA,D006331
AMI,D009203,D017202,D006331,NEG,N05AB,D006331
AMI,D009203,D017202,D006331,NEG,N05AD,D006331
AMI,D009203,D017202,D006331,NEG,N05AF,D006331
AMI,D009203,D017202,D006331,NEG,N05AN,D006331
AMI,D009203,D017202,D006331,NEG,N05BA,D006331
AMI,D009203,D017202,D006331,NEG,N05CD,D006331
AMI,D009203,D017202,D006331,NEG,N05CH,D006331
AMI,D009203,D017202,D006331,NEG,N05CM,D006331
AMI,D009203,D017202,D006331,NEG,N06BA,D006331
AMI,D009203,D017202,D006331,NEG,P01AB,D006331
AMI,D009203,D017202,D006331,NEG,P02CA,D006331
AMI,D009203,D017202,D006331,NEG,R01AD,D006331
AMI,D009203,D017202,D006331,NEG,R01AX,D006331
AMI,D009203,D017202,D006331,NEG,R03AC,D006331
AMI,D009203,D017202,D006331,NEG,R03BA,D006331
AMI,D009203,D017202,D006331,NEG,R03DC,D006331
AMI,D009203,D017202,D006331,NEG,R05DB,D006331
AMI,D009203,D017202,D006331,NEG,R06AX,D006331
AMI,D009203,D017202,D006331,NEG,S01AB,D006331
AMI,D009203,D017202,D006331,NEG,S01AE,D006331
AMI,D009203,D017202,D006331,NEG,S01BC,D006331
AMI,D009203,D017202,D006331,NEG,S01EC,D006331
AMI,D009203,D017202,D006331,NEG,S01FA,D006331
AMI,D009203,D017202,D006331,NEG,S01GX,D006331
AMI,D009203,D017202,D006331,NEG,S01XA,D006331
AMI,D009203,D017202,D006331,NEG,S02AA,D006331
ALI,D056486,D008107,D004066,POS,A08AB,D008107
ALI,D056486,D008107,D004066,POS,A10BG,D008107
ALI,D056486,D008107,D004066,POS,C01EB,D008107
ALI,D056486,D008107,D004066,POS,C02AB,D008107
ALI,D056486,D008107,D004066,POS,C02KX,D008107
ALI,D056486,D008107,D004066,POS,C04AC,D008107
ALI,D056486,D008107,D004066,POS,C05AE,D008107
ALI,D056486,D008107,D004066,POS,C08CA,D008107
ALI,D056486,D008107,D004066,POS,C08DB,D008107
ALI,D056486,D008107,D004066,POS,C09AA,D008107
ALI,D056486,D008107,D004066,POS,C10AD,D008107
ALI,D056486,D008107,D004066,POS,D01AC,D008107
ALI,D056486,D008107,D004066,POS,D01AE,D008107
ALI,D056486,D008107,D004066,POS,D01BA,D008107
ALI,D056486,D008107,D004066,POS,D10AF,D008107
ALI,D056486,D008107,D004066,POS,G02CC,D008107
ALI,D056486,D008107,D004066,POS,H03BA,D008107
ALI,D056486,D008107,D004066,POS,H03BB,D008107
ALI,D056486,D008107,D004066,POS,J01EB,D008107
ALI,D056486,D008107,D004066,POS,J01FA,D008107
ALI,D056486,D008107,D004066,POS,J01MA,D008107
ALI,D056486,D008107,D004066,POS,J01XE,D008107
ALI,D056486,D008107,D004066,POS,J02AC,D008107
ALI,D056486,D008107,D004066,POS,J02AX,D008107
ALI,D056486,D008107,D004066,POS,J04AB,D008107
ALI,D056486,D008107,D004066,POS,J04AC,D008107
ALI,D056486,D008107,D004066,POS,J05AE,D008107
ALI,D056486,D008107,D004066,POS,J05AF,D008107
ALI,D056486,D008107,D004066,POS,J05AG,D008107
ALI,D056486,D008107,D004066,POS,L01AB,D008107
ALI,D056486,D008107,D004066,POS,L01AX,D008107
ALI,D056486,D008107,D004066,POS,L01BA,D008107
ALI,D056486,D008107,D004066,POS,L01BB,D008107
ALI,D056486,D008107,D004066,POS,L01BC,D008107
ALI,D056486,D008107,D004066,POS,L01XE,D008107
ALI,D056486,D008107,D004066,POS,L01XX,D008107
ALI,D056486,D008107,D004066,POS,L02BA,D008107
ALI,D056486,D008107,D004066,POS,L02BB,D008107
ALI,D056486,D008107,D004066,POS,L03AB,D008107
ALI,D056486,D008107,D004066,POS,L04AB,D008107
ALI,D056486,D008107,D004066,POS,L04AD,D008107
ALI,D056486,D008107,D004066,POS,L04AX,D008107
ALI,D056486,D008107,D004066,POS,M01AB,D008107
ALI,D056486,D008107,D004066,POS,M01AC,D008107
ALI,D056486,D008107,D004066,POS,M01AE,D008107
ALI,D056486,D008107,D004066,POS,M01AH,D008107
ALI,D056486,D008107,D004066,POS,M01CC,D008107
ALI,D056486,D008107,D004066,POS,M02AA,D008107
ALI,D056486,D008107,D004066,POS,M04AA,D008107
ALI,D056486,D008107,D004066,POS,N03AF,D008107
ALI,D056486,D008107,D004066,POS,N03AG,D008107
ALI,D056486,D008107,D004066,POS,N03AX,D008107
ALI,D056486,D008107,D004066,POS,N04BX,D008107
ALI,D056486,D008107,D004066,POS,N05AH,D008107
ALI,D056486,D008107,D004066,POS,N06AA,D008107
ALI,D056486,D008107,D004066,POS,N06AX,D008107
ALI,D056486,D008107,D004066,POS,N07BB,D008107
ALI,D056486,D008107,D004066,POS,P02CA,D008107
ALI,D056486,D008107,D004066,POS,P03AA,D008107
ALI,D056486,D008107,D004066,POS,R03DC,D008107
ALI,D056486,D008107,D004066,POS,S01AA,D008107
ALI,D056486,D008107,D004066,POS,S01AB,D008107
ALI,D056486,D008107,D004066,POS,S01AE,D008107
ALI,D056486,D008107,D004066,POS,S01BC,D008107
ALI,D056486,D008107,D004066,POS,S01EC,D008107
ALI,D056486,D008107,D004066,POS,S01XA,D008107
ALI,D056486,D008107,D004066,POS,S02AA,D008107
ALI,D056486,D008107,D004066,POS,S03AA,D008107
ALI,D056486,D008107,D004066,NEG,A01AB,D008107
ALI,D056486,D008107,D004066,NEG,A02BX,D008107
ALI,D056486,D008107,D004066,NEG,A03AA,D008107
ALI,D056486,D008107,D004066,NEG,A03AB,D008107
ALI,D056486,D008107,D004066,NEG,A04AD,D008107
ALI,D056486,D008107,D004066,NEG,A06AD,D008107
ALI,D056486,D008107,D004066,NEG,A07AA,D008107
ALI,D056486,D008107,D004066,NEG,A07AC,D008107
ALI,D056486,D008107,D004066,NEG,A08AA,D008107
ALI,D056486,D008107,D004066,NEG,A09AA,D008107
ALI,D056486,D008107,D004066,NEG,A10BH,D008107
ALI,D056486,D008107,D004066,NEG,B03AA,D008107
ALI,D056486,D008107,D004066,NEG,C04AB,D008107
ALI,D056486,D008107,D004066,NEG,C05AD,D008107
ALI,D056486,D008107,D004066,NEG,D01AA,D008107
ALI,D056486,D008107,D004066,NEG,D04AB,D008107
ALI,D056486,D008107,D004066,NEG,D07AC,D008107
ALI,D056486,D008107,D004066,NEG,G01AF,D008107
ALI,D056486,D008107,D004066,NEG,G04BD,D008107
ALI,D056486,D008107,D004066,NEG,H01AA,D008107
ALI,D056486,D008107,D004066,NEG,J01CE,D008107
ALI,D056486,D008107,D004066,NEG,J01XD,D008107
ALI,D056486,D008107,D004066,NEG,J01XX,D008107
ALI,D056486,D008107,D004066,NEG,J02AB,D008107
ALI,D056486,D008107,D004066,NEG,N01BA,D008107
ALI,D056486,D008107,D004066,NEG,N02CA,D008107
ALI,D056486,D008107,D004066,NEG,N02CC,D008107
ALI,D056486,D008107,D004066,NEG,N03AA,D008107
ALI,D056486,D008107,D004066,NEG,N05AD,D008107
ALI,D056486,D008107,D004066,NEG,N05AN,D008107
ALI,D056486,D008107,D004066,NEG,N05CM,D008107
ALI,D056486,D008107,D004066,NEG,N07AA,D008107
ALI,D056486,D008107,D004066,NEG,P01AB,D008107
ALI,D056486,D008107,D004066,NEG,R01AD,D008107
ALI,D056486,D008107,D004066,NEG,R02AD,D008107
ALI,D056486,D008107,D004066,NEG,R03AC,D008107
ALI,D056486,D008107,D004066,NEG,R03BA,D008107
ALI,D056486,D008107,D004066,NEG,R05DB,D008107
ALI,D056486,D008107,D004066,NEG,R06AX,D008107
ALI,D056486,D008107,D004066,NEG,S01EB,D008107
ALI,D056486,D008107,D004066,NEG,S01FA,D008107
ALI,D056486,D008107,D004066,NEG,S01GX,D008107
ALI,D056486,D008107,D004066,NEG,V03AB,D008107
AKI,D058186,D007674,D014570,POS,C01EB,D014570
AKI,D058186,D007674,D014570,POS,C03AA,D014570
AKI,D058186,D007674,D014570,POS,C09AA,D014570
AKI,D058186,D007674,D014570,POS,C09CA,D014570
AKI,D058186,D007674,D014570,POS,D06BB,D014570
AKI,D058186,D007674,D014570,POS,G02CC,D014570
AKI,D058186,D007674,D014570,POS,J04AB,D014570
AKI,D058186,D007674,D014570,POS,J05AB,D014570
AKI,D058186,D007674,D014570,POS,L04AD,D014570
AKI,D058186,D007674,D014570,POS,M01AB,D014570
AKI,D058186,D007674,D014570,POS,M01AC,D014570
AKI,D058186,D007674,D014570,POS,M01AE,D014570
AKI,D058186,D007674,D014570,POS,M01AG,D014570
AKI,D058186,D007674,D014570,POS,M02AA,D014570
AKI,D058186,D007674,D014570,POS,M04AA,D014570
AKI,D058186,D007674,D014570,POS,N02BA,D014570
AKI,D058186,D007674,D014570,POS,S01AD,D014570
AKI,D058186,D007674,D014570,POS,S01BC,D014570
AKI,D058186,D007674,D014570,POS,S01XA,D014570
AKI,D058186,D007674,D014570,NEG,A01AB,D014570
AKI,D058186,D007674,D014570,NEG,A03AA,D014570
AKI,D058186,D007674,D014570,NEG,A03AX,D014570
AKI,D058186,D007674,D014570,NEG,A04AD,D014570
AKI,D058186,D007674,D014570,NEG,A06AD,D014570
AKI,D058186,D007674,D014570,NEG,A07AA,D014570
AKI,D058186,D007674,D014570,NEG,A07AC,D014570
AKI,D058186,D007674,D014570,NEG,A08AA,D014570
AKI,D058186,D007674,D014570,NEG,A08AB,D014570
AKI,D058186,D007674,D014570,NEG,A09AA,D014570
AKI,D058186,D007674,D014570,NEG,A10BF,D014570
AKI,D058186,D007674,D014570,NEG,A11CA,D014570
AKI,D058186,D007674,D014570,NEG,B03AA,D014570
AKI,D058186,D007674,D014570,NEG,B03XA,D014570
AKI,D058186,D007674,D014570,NEG,B05BC,D014570
AKI,D058186,D007674,D014570,NEG,C04AB,D014570
AKI,D058186,D007674,D014570,NEG,C05AD,D014570
AKI,D058186,D007674,D014570,NEG,D01AA,D014570
AKI,D058186,D007674,D014570,NEG,D01AC,D014570
AKI,D058186,D007674,D014570,NEG,D01BA,D014570
AKI,D058186,D007674,D014570,NEG,D02AE,D014570
AKI,D058186,D007674,D014570,NEG,D04AB,D014570
AKI,D058186,D007674,D014570,NEG,D10AD,D014570
AKI,D058186,D007674,D014570,NEG,G01AF,D014570
AKI,D058186,D007674,D014570,NEG,G04BD,D014570
AKI,D058186,D007674,D014570,NEG,H01AA,D014570
AKI,D058186,D007674,D014570,NEG,J01CE,D014570
AKI,D058186,D007674,D014570,NEG,J01MA,D014570
AKI,D058186,D007674,D014570,NEG,J01XD,D014570
AKI,D058186,D007674,D014570,NEG,J01XX,D014570
AKI,D058186,D007674,D014570,NEG,J02AB,D014570
AKI,D058186,D007674,D014570,NEG,J05AE,D014570
AKI,D058186,D007674,D014570,NEG,J05AF,D014570
AKI,D058186,D007674,D014570,NEG,L01AA,D014570
AKI,D058186,D007674,D014570,NEG,L01AX,D014570
AKI,D058186,D007674,D014570,NEG,L02BB,D014570
AKI,D058186,D007674,D014570,NEG,L04AB,D014570
AKI,D058186,D007674,D014570,NEG,M03BA,D014570
AKI,D058186,D007674,D014570,NEG,N01BA,D014570
AKI,D058186,D007674,D014570,NEG,N01BB,D014570
AKI,D058186,D007674,D014570,NEG,N02CA,D014570
AKI,D058186,D007674,D014570,NEG,N02CC,D014570
AKI,D058186,D007674,D014570,NEG,N03AA,D014570
AKI,D058186,D007674,D014570,NEG,N05AB,D014570
AKI,D058186,D007674,D014570,NEG,N05AF,D014570
AKI,D058186,D007674,D014570,NEG,N05AH,D014570
AKI,D058186,D007674,D014570,NEG,N05BA,D014570
AKI,D058186,D007674,D014570,NEG,N05CD,D014570
AKI,D058186,D007674,D014570,NEG,N05CH,D014570
AKI,D058186,D007674,D014570,NEG,N05CM,D014570
AKI,D058186,D007674,D014570,NEG,N06AA,D014570
AKI,D058186,D007674,D014570,NEG,N07AA,D014570
AKI,D058186,D007674,D014570,NEG,N07BB,D014570
AKI,D058186,D007674,D014570,NEG,P01AB,D014570
AKI,D058186,D007674,D014570,NEG,P02CA,D014570
AKI,D058186,D007674,D014570,NEG,P03AA,D014570
AKI,D058186,D007674,D014570,NEG,R01AX,D014570
AKI,D058186,D007674,D014570,NEG,R02AD,D014570
AKI,D058186,D007674,D014570,NEG,R03DC,D014570
AKI,D058186,D007674,D014570,NEG,R05DB,D014570
AKI,D058186,D007674,D014570,NEG,R06AX,D014570
AKI,D058186,D007674,D014570,NEG,S01AE,D014570
AKI,D058186,D007674,D014570,NEG,S01EB,D014570
AKI,D058186,D007674,D014570,NEG,S01FA,D014570
AKI,D058186,D007674,D014570,NEG,S01GX,D014570
AKI,D058186,D007674,D014570,NEG,S01XA,D014570
AKI,D058186,D007674,D014570,NEG,S02AA,D014570
AKI,D058186,D007674,D014570,NEG,V03AB,D014570
