Outcome,LOW,MEDIUM,HIGH,set,drug,2nd
AMI,D009203,D017202,D006331,NEG,G04BD02,D006331
AMI,D009203,D017202,D006331,NEG,L02BB01,D006331
AMI,D009203,D017202,D006331,NEG,R06AX17,D006331
AMI,D009203,D017202,D006331,NEG,N05AN01,D006331
AMI,D009203,D017202,D006331,NEG,P02CA01,D006331
AMI,D009203,D017202,D006331,NEG,J01XX05,D006331
AMI,D009203,D017202,D006331,NEG,H03BB02,D006331
AMI,D009203,D017202,D006331,NEG,A01AB09,D006331
AMI,D009203,D017202,D006331,NEG,J05AE04,D006331
AMI,D009203,D017202,D006331,NEG,J05AG01,D006331
AMI,D009203,D017202,D006331,NEG,A07AA06,D006331
AMI,D009203,D017202,D006331,NEG,N06BA05,D006331
AMI,D009203,D017202,D006331,NEG,M01CC01,D006331
AMI,D009203,D017202,D006331,NEG,J02AC04,D006331
AMI,D009203,D017202,D006331,NEG,N01BB04,D006331
AMI,D009203,D017202,D006331,NEG,N03AA03,D006331
AMI,D009203,D017202,D006331,NEG,A03AB05,D006331
AMI,D009203,D017202,D006331,NEG,A03AX13,D006331
AMI,D009203,D017202,D006331,NEG,J05AF04,D006331
AMI,D009203,D017202,D006331,NEG,A07EC01,D006331
AMI,D009203,D017202,D006331,NEG,J01EB05,D006331
AMI,D009203,D017202,D006331,NEG,A04AD10,D006331
AMI,D009203,D017202,D006331,NEG,D01AC06,D006331
AMI,D009203,D017202,D006331,NEG,N05AF04,D006331
AMI,D009203,D017202,D006331,NEG,J01XD02,D006331
AMI,D009203,D017202,D006331,NEG,J05AE09,D006331
AMI,D009203,D017202,D006331,NEG,A11CA01,D006331
AMI,D009203,D017202,D006331,NEG,R03DC01,D006331
ALI,D056486,D008107,D004066,POS,M04AA01,D008107
ALI,D056486,D008107,D004066,POS,N03AF01,D008107
ALI,D056486,D008107,D004066,POS,L01XX33,D008107
ALI,D056486,D008107,D004066,POS,J01MA02,D008107
ALI,D056486,D008107,D004066,POS,L04AD01,D008107
ALI,D056486,D008107,D004066,POS,C08DB01,D008107
ALI,D056486,D008107,D004066,POS,D10AF02,D008107
ALI,D056486,D008107,D004066,POS,M01AB08,D008107
ALI,D056486,D008107,D004066,POS,D01AC15,D008107
ALI,D056486,D008107,D004066,POS,C01EB16,D008107
ALI,D056486,D008107,D004066,POS,C01EB03,D008107
ALI,D056486,D008107,D004066,POS,M01AB15,D008107
ALI,D056486,D008107,D004066,POS,N03AX09,D008107
ALI,D056486,D008107,D004066,POS,J01MA12,D008107
ALI,D056486,D008107,D004066,POS,C09AA03,D008107
ALI,D056486,D008107,D004066,POS,L01BA01,D008107
ALI,D056486,D008107,D004066,POS,G02CC02,D008107
ALI,D056486,D008107,D004066,POS,C04AC01,D008107
ALI,D056486,D008107,D004066,POS,C08CA05,D008107
ALI,D056486,D008107,D004066,POS,J01XE01,D008107
ALI,D056486,D008107,D004066,POS,N06AA10,D008107
ALI,D056486,D008107,D004066,POS,J01MA01,D008107
ALI,D056486,D008107,D004066,POS,M01AE12,D008107
ALI,D056486,D008107,D004066,POS,A10BG03,D008107
ALI,D056486,D008107,D004066,POS,M01AC01,D008107
ALI,D056486,D008107,D004066,POS,C09AA06,D008107
ALI,D056486,D008107,D004066,POS,C09AA05,D008107
ALI,D056486,D008107,D004066,POS,M01AB02,D008107
ALI,D056486,D008107,D004066,POS,L02BA01,D008107
ALI,D056486,D008107,D004066,POS,D01AE15,D008107
ALI,D056486,D008107,D004066,POS,C09AA10,D008107
ALI,D056486,D008107,D004066,POS,N03AG01,D008107
ALI,D056486,D008107,D004066,POS,S01EC01,D008107
ALI,D056486,D008107,D004066,POS,J05AF06,D008107
ALI,D056486,D008107,D004066,POS,L01XX32,D008107
ALI,D056486,D008107,D004066,POS,C02KX01,D008107
ALI,D056486,D008107,D004066,POS,L01AB01,D008107
ALI,D056486,D008107,D004066,POS,C09AA01,D008107
ALI,D056486,D008107,D004066,POS,J02AX04,D008107
ALI,D056486,D008107,D004066,POS,N05AH02,D008107
ALI,D056486,D008107,D004066,POS,L01AX04,D008107
ALI,D056486,D008107,D004066,POS,J05AE10,D008107
ALI,D056486,D008107,D004066,POS,J05AF02,D008107
ALI,D056486,D008107,D004066,POS,N07BB01,D008107
ALI,D056486,D008107,D004066,POS,J05AG03,D008107
ALI,D056486,D008107,D004066,POS,N03AX10,D008107
ALI,D056486,D008107,D004066,POS,L02BB01,D008107
ALI,D056486,D008107,D004066,POS,L01BC05,D008107
ALI,D056486,D008107,D004066,POS,J01MA15,D008107
ALI,D056486,D008107,D004066,POS,L01XE01,D008107
ALI,D056486,D008107,D004066,POS,L04AB02,D008107
ALI,D056486,D008107,D004066,POS,L03AB07,D008107
ALI,D056486,D008107,D004066,POS,J04AC01,D008107
ALI,D056486,D008107,D004066,POS,J02AC02,D008107
ALI,D056486,D008107,D004066,POS,J05AF05,D008107
ALI,D056486,D008107,D004066,POS,H03BB02,D008107
ALI,D056486,D008107,D004066,POS,C02AB01,D008107
ALI,D056486,D008107,D004066,POS,C09AA13,D008107
ALI,D056486,D008107,D004066,POS,N06AX06,D008107
ALI,D056486,D008107,D004066,POS,J05AG01,D008107
ALI,D056486,D008107,D004066,POS,J01MA06,D008107
ALI,D056486,D008107,D004066,POS,A08AB01,D008107
ALI,D056486,D008107,D004066,POS,M01CC01,D008107
ALI,D056486,D008107,D004066,POS,J02AC04,D008107
ALI,D056486,D008107,D004066,POS,H03BA02,D008107
ALI,D056486,D008107,D004066,POS,J04AB02,D008107
ALI,D056486,D008107,D004066,POS,J05AF04,D008107
ALI,D056486,D008107,D004066,POS,J01EB05,D008107
ALI,D056486,D008107,D004066,POS,J05AF07,D008107
ALI,D056486,D008107,D004066,POS,D01AC06,D008107
ALI,D056486,D008107,D004066,POS,L01BB03,D008107
ALI,D056486,D008107,D004066,POS,J05AE09,D008107
ALI,D056486,D008107,D004066,POS,N04BX01,D008107
ALI,D056486,D008107,D004066,POS,M01AB03,D008107
ALI,D056486,D008107,D004066,POS,J01MA13,D008107
ALI,D056486,D008107,D004066,POS,J02AC03,D008107
ALI,D056486,D008107,D004066,POS,R03DC01,D008107
ALI,D056486,D008107,D004066,POS,J05AF03,D008107
ALI,D056486,D008107,D004066,POS,J05AF01,D008107
ALI,D056486,D008107,D004066,NEG,C01EB10,D008107
ALI,D056486,D008107,D004066,NEG,C05AD03,D008107
ALI,D056486,D008107,D004066,NEG,R05DB01,D008107
ALI,D056486,D008107,D004066,NEG,A03AA07,D008107
ALI,D056486,D008107,D004066,NEG,D07AC17,D008107
ALI,D056486,D008107,D004066,NEG,J01MA16,D008107
ALI,D056486,D008107,D004066,NEG,D01AA08,D008107
ALI,D056486,D008107,D004066,NEG,A06AD11,D008107
ALI,D056486,D008107,D004066,NEG,A01AB09,D008107
ALI,D056486,D008107,D004066,NEG,G04BD04,D008107
ALI,D056486,D008107,D004066,NEG,J01CE02,D008107
ALI,D056486,D008107,D004066,NEG,R03AC12,D008107
ALI,D056486,D008107,D004066,NEG,A04AD01,D008107
ALI,D056486,D008107,D004066,NEG,A10BH01,D008107
ALI,D056486,D008107,D004066,NEG,A02BX02,D008107
ALI,D056486,D008107,D004066,NEG,N02CC05,D008107
ALI,D056486,D008107,D004066,NEG,A09AA01,D008107
ALI,D056486,D008107,D004066,NEG,H01AA02,D008107
ALI,D056486,D008107,D004066,NEG,N05AD08,D008107
ALI,D056486,D008107,D004066,NEG,N02CA02,D008107
ALI,D056486,D008107,D004066,NEG,B03AA03,D008107
ALI,D056486,D008107,D004066,NEG,G04BD02,D008107
ALI,D056486,D008107,D004066,NEG,R06AX17,D008107
ALI,D056486,D008107,D004066,NEG,N05AN01,D008107
ALI,D056486,D008107,D004066,NEG,J01XX05,D008107
ALI,D056486,D008107,D004066,NEG,N07AA01,D008107
ALI,D056486,D008107,D004066,NEG,A07AA06,D008107
ALI,D056486,D008107,D004066,NEG,A08AA01,D008107
ALI,D056486,D008107,D004066,NEG,C04AB01,D008107
ALI,D056486,D008107,D004066,NEG,N03AA03,D008107
ALI,D056486,D008107,D004066,NEG,A03AB05,D008107
ALI,D056486,D008107,D004066,NEG,A04AD10,D008107
ALI,D056486,D008107,D004066,NEG,J01XD02,D008107
AKI,D058186,D007674,D014570,POS,D06BB03,D014570
AKI,D058186,D007674,D014570,POS,C03AA03,D014570
AKI,D058186,D007674,D014570,POS,C01EB16,D014570
AKI,D058186,D007674,D014570,POS,C09AA03,D014570
AKI,D058186,D007674,D014570,POS,M01AC06,D014570
AKI,D058186,D007674,D014570,POS,G02CC02,D014570
AKI,D058186,D007674,D014570,POS,C09CA08,D014570
AKI,D058186,D007674,D014570,POS,M04AA01,D014570
AKI,D058186,D007674,D014570,POS,C09CA06,D014570
AKI,D058186,D007674,D014570,POS,J04AB30,D014570
AKI,D058186,D007674,D014570,POS,C09AA01,D014570
AKI,D058186,D007674,D014570,POS,C03AA04,D014570
AKI,D058186,D007674,D014570,POS,L04AD01,D014570
AKI,D058186,D007674,D014570,POS,N02BA11,D014570
AKI,D058186,D007674,D014570,POS,M01AB08,D014570
AKI,D058186,D007674,D014570,POS,M01AE04,D014570
AKI,D058186,D007674,D014570,POS,M01AE03,D014570
AKI,D058186,D007674,D014570,POS,M01AB15,D014570
AKI,D058186,D007674,D014570,POS,M01AG01,D014570
AKI,D058186,D007674,D014570,POS,C09AA13,D014570
AKI,D058186,D007674,D014570,POS,M01AE12,D014570
AKI,D058186,D007674,D014570,POS,M01AC01,D014570
AKI,D058186,D007674,D014570,POS,C09CA07,D014570
AKI,D058186,D007674,D014570,NEG,R05DB01,D014570
AKI,D058186,D007674,D014570,NEG,D01AC08,D014570
AKI,D058186,D007674,D014570,NEG,R06AX13,D014570
AKI,D058186,D007674,D014570,NEG,N05CD07,D014570
AKI,D058186,D007674,D014570,NEG,A10BF01,D014570
AKI,D058186,D007674,D014570,NEG,C01EB10,D014570
AKI,D058186,D007674,D014570,NEG,N02CC05,D014570
AKI,D058186,D007674,D014570,NEG,A09AA01,D014570
AKI,D058186,D007674,D014570,NEG,C05AD03,D014570
AKI,D058186,D007674,D014570,NEG,S01BC11,D014570
AKI,D058186,D007674,D014570,NEG,L01AA02,D014570
AKI,D058186,D007674,D014570,NEG,N05BA05,D014570
AKI,D058186,D007674,D014570,NEG,N05AH02,D014570
AKI,D058186,D007674,D014570,NEG,H01AA02,D014570
AKI,D058186,D007674,D014570,NEG,L01AX04,D014570
AKI,D058186,D007674,D014570,NEG,B03XA02,D014570
AKI,D058186,D007674,D014570,NEG,G04BD10,D014570
AKI,D058186,D007674,D014570,NEG,J05AE10,D014570
AKI,D058186,D007674,D014570,NEG,A03AA07,D014570
AKI,D058186,D007674,D014570,NEG,N07BB01,D014570
AKI,D058186,D007674,D014570,NEG,N02CC06,D014570
AKI,D058186,D007674,D014570,NEG,J05AF10,D014570
AKI,D058186,D007674,D014570,NEG,N02CA02,D014570
AKI,D058186,D007674,D014570,NEG,B03AA03,D014570
AKI,D058186,D007674,D014570,NEG,G04BD02,D014570
AKI,D058186,D007674,D014570,NEG,L02BB01,D014570
AKI,D058186,D007674,D014570,NEG,N02CC07,D014570
AKI,D058186,D007674,D014570,NEG,J01MA16,D014570
AKI,D058186,D007674,D014570,NEG,D01AA08,D014570
AKI,D058186,D007674,D014570,NEG,N06AA02,D014570
AKI,D058186,D007674,D014570,NEG,L04AB02,D014570
AKI,D058186,D007674,D014570,NEG,R06AX17,D014570
AKI,D058186,D007674,D014570,NEG,A06AD11,D014570
AKI,D058186,D007674,D014570,NEG,P02CA01,D014570
AKI,D058186,D007674,D014570,NEG,J01XX05,D014570
AKI,D058186,D007674,D014570,NEG,M03BA03,D014570
AKI,D058186,D007674,D014570,NEG,A01AB09,D014570
AKI,D058186,D007674,D014570,NEG,J05AE04,D014570
AKI,D058186,D007674,D014570,NEG,N07AA01,D014570
AKI,D058186,D007674,D014570,NEG,N06AA10,D014570
AKI,D058186,D007674,D014570,NEG,A08AB01,D014570
AKI,D058186,D007674,D014570,NEG,A07AA06,D014570
AKI,D058186,D007674,D014570,NEG,J01CE02,D014570
AKI,D058186,D007674,D014570,NEG,A08AA01,D014570
AKI,D058186,D007674,D014570,NEG,C04AB01,D014570
AKI,D058186,D007674,D014570,NEG,N01BB04,D014570
AKI,D058186,D007674,D014570,NEG,N03AA03,D014570
AKI,D058186,D007674,D014570,NEG,N05AB04,D014570
AKI,D058186,D007674,D014570,NEG,N05CH02,D014570
AKI,D058186,D007674,D014570,NEG,N02CC04,D014570
AKI,D058186,D007674,D014570,NEG,A04AD01,D014570
AKI,D058186,D007674,D014570,NEG,A03AX13,D014570
AKI,D058186,D007674,D014570,NEG,A04AD10,D014570
AKI,D058186,D007674,D014570,NEG,D01AC06,D014570
AKI,D058186,D007674,D014570,NEG,N05AF04,D014570
AKI,D058186,D007674,D014570,NEG,J01XD02,D014570
AKI,D058186,D007674,D014570,NEG,B05BC02,D014570
AKI,D058186,D007674,D014570,NEG,A11CA01,D014570
AKI,D058186,D007674,D014570,NEG,R03DC01,D014570
